id,name,year,type,Regie,age,Produktionsfirma,sector
jlieb,Jonathan Liebesmann,,1,,,,
mn,Mike Newell,,1,,,,
sm,Sam Mendes,,1,,,,
wa,Wes Anderson,,1,,,,
pca,Peter Cattaneo,,1,,,,
vgla,Vera Glagoleva,,1,,,,
sg,Simon Godwin,,1,,,,
lugu,Luca Guadagnino,,1,,,,
rg,Rupert Goold,,1,,,,
ethcoen,Ethan Coen,,1,,,,
joelcoen,Joel Coen,,1,,,,
ebw,Elliot Barnes Worrell,,1,,,,
tk,Travis Knight,,1,,,,
cmckay,Chris Mckay,,1,,,,
vr,Vanessa Redgrave,,1,,,,
etancohen,Etan Cohen,,1,,,,
gh,Gavin Hood,,1,,,,
mikemitch,Mike Mitchell,,1,,,,
taghia,Taghi Amirani,,1,,,,
nhyt,Nicholas Hytner,,1,,,,
stega,Stephen Gaghan,,1,,,,
sstone,Simon Stone,,1,,,,
jmmcd,John Michael McDonagh,,1,,,,
cjf,Cary Joji Fukunaga,,1,,,,
mmylod,Mark Mylod,,1,,,,
wynd,Wyndhams Theatre,,2,,,,
spc,Sony Pictures Classics,,2,,,,
fox,Fox,,2,,,,
up,Universal Pictures,,2,,,,
cp,Columbia Pictures,,2,,,,
rnt,Royal National Theatre,,2,,,,
trsc,The Royal Shakespeare Company,,2,,,,
pbs,PBS,,2,,,,
aehc,AandEs History Channel,,2,,,,
phouse,Picturehouse,,2,,,,
momentump,Momentum Pictures,,2,,,,
focusf,Focus Features,,2,,,,
dreamworks,Dreamworks SKG,,2,,,,
ea,Electronic Arts,,2,,,,
barbicanc,Barbican Centre,,2,,,,
gt,GateTheatre,,2,,,,
sgf,Samuel Goldwyn Films,,2,,,,
hbo,HBO,,2,,,,
sydneyf,Sydney Festival,,2,,,,
ggt,Gielgud Theatre,,2,,,,
paramount,Paramount Pictures,,2,,,,
summit,Summit Media,,2,,,,
weinstein,Weinstein Co,,2,,,,
nationalg,National Geographic,,2,,,,
universals,Universal Studios,,2,,,,
warner,Warner Bros,,2,,,,
sonyp,Sony Pictures,,2,,,,
trh,Theatre Royal Haymarket,,2,,,,
koch,Koch Media GmbH,,2,,,,
spe,Sony Pictures Entertainment,,2,,,,
foxs,Fox Searchlight,,2,,,,
bbca,BBC America,,2,,,,
ovt,Old Vic Theatre,,2,,,,
almeidat,Almeida Theatre,,2,,,,
kick,Kickstarter,,2,,,,
dissent,Dissent Projects LTD,,2,,,,
ifc,IFC Films,,2,,,,
bridget,Bridge Theatre,,2,,,,
roadside,Roadside Attractions,,2,,,,
mgw,Metro Goldwyn Mayer,,2,,,,
anna,Annapurna Pictures,,2,,,,
centuryfox,20th Century Fox,,2,,,,
search,Searchlight Pictures,,2,,,,
