id,name,type,age,year,sector,genre,land,produktion,regie,networth,agent
stme,Stephen Merchant,1,99,99,8,99,8,99,99,99,99
trnu,Trevor Nunn,1,99,99,8,99,8,99,99,99,99
daha,David Hare,1,99,99,8,99,8,99,99,99,99
joli,Jonathan Liebesmann,1,99,99,8,99,8,99,99,99,99
mine,Mike Newell,1,99,99,8,99,8,99,99,99,99
same,Sam Mendes,1,99,99,8,99,8,99,99,99,99
wean,Wes Anderson,1,99,99,8,99,8,99,99,99,99
peca,Peter Cattaneo,1,99,99,8,99,8,99,99,99,99
vegl,Vera Glagoleva,1,99,99,8,99,8,99,99,99,99
sigo,Simon Godwin,1,99,99,8,99,8,99,99,99,99
lugu,Luca Guadagnino,1,99,99,8,99,8,99,99,99,99
rugo,Rupert Goold,1,99,99,8,99,8,99,99,99,99
elbawo,Elliot Barnes Worrell,1,99,99,8,99,8,99,99,99,99
trkn,Travis Knight,1,99,99,8,99,8,99,99,99,99
chmc,Chris Mckay,1,99,99,8,99,8,99,99,99,99
vare,Vanessa Redgrave,1,99,99,8,99,8,99,99,99,99
etanco,Etan Cohen,1,99,99,8,99,8,99,99,99,99
gaho,Gavin Hood,1,99,99,8,99,8,99,99,99,99
mimi,Mike Mitchell,1,99,99,8,99,8,99,99,99,99
taam,Taghi Amirani,1,99,99,8,99,8,99,99,99,99
nihy,Nicholas Hytner,1,99,99,8,99,8,99,99,99,99
stga,Stephen Gaghan,1,99,99,8,99,8,99,99,99,99
sist,Simon Stone,1,99,99,8,99,8,99,99,99,99
jomimc,John Michael McDonagh,1,99,99,8,99,8,99,99,99,99
cajofu,Cary Joji Fukunaga,1,99,99,8,99,8,99,99,99,99
mamy,Mark Mylod,1,99,99,8,99,8,99,99,99,99
wyth,Wyndhams Theatre,2,99,99,9,99,9,99,99,99,99
fox,Fox,2,99,99,9,99,9,99,99,99,99
ronath,Royal National Theatre,2,99,99,9,99,9,99,99,99,99
throshco,The Royal Shakespeare Company,2,99,99,9,99,9,99,99,99,99
pbs,PBS,2,99,99,9,99,9,99,99,99,99
aaneshich,AandEs History Channel,2,99,99,9,99,9,99,99,99,99
picturehouse,Picturehouse,2,99,99,9,99,9,99,99,99,99
dreamworks,Dreamworks SKG,2,99,99,9,99,9,99,99,99,99
bace,Barbican Centre,2,99,99,9,99,9,99,99,99,99
gath,GateTheatre,2,99,99,9,99,9,99,99,99,99
sagofi,Samuel Goldwyn Films,2,99,99,9,99,9,99,99,99,99
syfe,Sydney Festival,2,99,99,9,99,9,99,99,99,99
gith,Gielgud Theatre,2,99,99,9,99,9,99,99,99,99
paramount,Paramount,2,99,99,9,99,9,99,99,99,99
sume,Summit Media,2,99,99,9,99,9,99,99,99,99
nage,National Geographic,2,99,99,9,99,9,99,99,99,99
throha,Theatre Royal Haymarket,2,99,99,9,99,9,99,99,99,99
komegm,Koch Media GmbH,2,99,99,9,99,9,99,99,99,99
fose,Fox Searchlight,2,99,99,9,99,9,99,99,99,99
bbca,BBC America,2,99,99,9,99,9,99,99,99,99
olvith,Old Vic Theatre,2,99,99,9,99,9,99,99,99,99
alth,Almeida Theatre,2,99,99,9,99,9,99,99,99,99
kickstarter,Kickstarter,2,99,99,9,99,9,99,99,99,99
diprlt,Dissent Projects LTD,2,99,99,9,99,9,99,99,99,99
iffi,IFC Films,2,99,99,9,99,9,99,99,99,99
brth,Bridge Theatre,2,99,99,9,99,9,99,99,99,99
roat,Roadside Attractions,2,99,99,9,99,9,99,99,99,99
sepi,Searchlight Pictures,2,99,99,9,99,9,99,99,99,99
heboca,Helena Bonham Carter,1,99,99,7,99,99,99,99,60,Nicola Van Gelder
nivage,Nicola Van Gelder,1,99,99,10,99,99,99,99,99,99
pldeaf,Planet der Affen,2,35,2001,1,5,US,20th Century Fox,Tim Burton,99,99
novocaine,Novocaine,2,35,2001,1,6,US,Artisan Entertainment,David Atkins,99,99
football,Football,2,35,2001,1,9,,,Gaby Dellal,99,99
thheofme,The Heart of Me,2,36,2002,1,2,US,ThinkFilm,Thaddeus O Sullivan,99,99
tihuvowaus,Till Human Voices Wake us,2,36,2002,1,2,US,Paramount Pictures,Michael Petroni,99,99
lifrba,Live from Baghdad,2,36,2002,1,2,US,HBO Films,Mick Jackson,99,99
hevi,Henry VIII,2,37,2003,2,2,US,CBS,Pete Travis,99,99
bifi,Big Fish,2,37,2003,1,5,US,Columbia Pictures,Tim Burton,99,99
lesn,Lemony Snicket,2,38,2004,1,6,US,DreamWorks,Brad Silberling,99,99
chundisc,Charlie und die Schokoladenfabrik,2,39,2005,1,5,US,Warner Bros,Tim Burton,99,99
cowiotwo,Conversations with other Women,2,39,2005,1,9,US,Fabrication Films,Hans Canosa,99,99
waangrthcoofthwera1,Wallace and Gromit The Course of the Were Rabbit,2,39,2005,6,9,UK,Frontier Developments,,99,99
waangrthcoofthwera2,Wallace and Gromit Auf der Jagd nach dem Riesenkaninchen,2,39,2005,1,8,US,DreamWorks,Steve Box,99,99
cobrhomieile,Corpse Bride Hochzeit mit einer Leiche,2,39,2005,1,8,US,Warner Bros,Tim Burton,99,99
mase,Magnificent seven,2,39,2005,1,1,US,Metro Goldwyn Mayer,Kenneth Glenaan,99,99
sisi,Sixty Six,2,40,2006,1,6,US,First Independent Pictures,Paul Weiland,99,99
swtodetebaaudeflst,Sweeney Todd Der teuflische Barbier aus der Fleet Street,2,41,2007,1,4,US,Paramount Pictures,Tim Burton,99,99
tedier,Terminator Die Erloesung,2,43,2009,1,1,US,Warner Bros,Joseph McGinty Nichol,99,99
enid,Enid,2,43,2009,1,2,US,BBC,James Hawes,99,99
degr,Der Grueffelo,2,43,2009,1,8,US,BBC,Max Lang,99,99
alimwu,Alice im Wunderland,2,44,2010,1,5,US,Walt Disney,Tim Burton,99,99
